Broadband Provider Name,DBA Name,Holding Company,Consumer Support Phone Number,Consumer Website URL,States and Territories,Broadband Service Type,"Offering Connected Devices (Laptop, Desktop, or Tablet)?"
EchoNet Wireless Puerto Rico LLC,EchoNet,,787-932-5111,www.echonetpr.com,PR,Fixed Broadband,No
"Etheric Networks, Inc.",,,650--487-1232,https://ethericnetworks.com,CA,Fixed Broadband,No
EV Holdings 1 LLC,Desert Winds Wireless,"Rural Wireless, LLC",509-591-0808,www.desertwinds.net/,WA,Fixed Broadband,No
"Express Dial Internet, Inc.",KWISP Internet,,630-942-5940,www.kwisp.com,IL,Fixed Broadband,No
Farmers Mutual Cooperative Telephone Co,Farmers Mutual Communications,,641-642-3249,www.farmersmutualcoop.com,IA,Fixed Broadband,No
Federated Telephone Cooperative,,,320-324-7111,https://fedtel.net/,MN,Fixed Broadband,No
Felton Telephone Co.,Arvig,"Arvig Enterprises, Inc.",888-892-7844,www.Arvig.com,MN,Fixed Broadband,No
Fibernet Monticello,Fibernet Delivered by Arvig,City of Monticello,888-652-1352,www.Fibernetmonticello.com,MN,Fixed Broadband,No
First Step Internet,,,208-882-8869,www.fsr.com,"ID, WA",Fixed Broadband,No
"Five Area Telephone Cooperative, Inc",,,806-272-5533,www.fivearea.com,TX,Fixed Broadband,No
"Foothills Rural Telephone Coop. Corp., Inc.",,,606-297-3501,www.foothills.net/,KY,Fixed Broadband,No
Foresthill Telephone Co,Sebastian,"Sebastian Enterprise, Inc",530-367-2222,https://sebastiancorp.com,CA,Fixed Broadband,No
Fremont Telcom Co.,Blackfoot Communications,"BTC Holdings, Inc",866-541-5000,www.blackfootcommunications.com,ID,Fixed Broadband,No
Gardonville Cooperative Telephone Association,,,320-524-2211,www.gctel.com,MN,Fixed Broadband,No
Gearheart Communications,Coalfields Telephone Company,,606-478-9401,http://www.gearheart.com/,KY,Fixed Broadband,No
Germantown Telephone Company,,,518-537-4835,www.gtel.net,NY,Fixed Broadband,No
"Gila River Telecommunications, inc",,,520-796-3333,www.gilarivertel.com,AZ,Fixed Broadband,Yes
Granite State Telephone Inc.,Granite State Communications,Yankee Telecom,603-529-9931,www.myGSC.com,NH,Fixed Broadband,No
Grice Enterprises LLC,,,580-286-5884,https://griceenterprises.com/,OK,Fixed Broadband,Yes
Griggs County Telephone Company,MLGC,,701-437-3300,www.mlgc.com,ND,Fixed Broadband,No
Gunnison Telephone Company,,,435-528-7236,www.Lbbroadband.com,UT,Fixed Broadband,No
"H&B Cable Services, Inc.",,"H&B Enterprises, Inc.",785-252-4000 or 1-800-432-8296,www.hbcomm.net,KS,Fixed Broadband,No
"H&B Communications, Inc.",,"H&B Enterprises, Inc.",785-252-4000 or 1-800-432-8296,www.hbcomm.net,KS,Fixed Broadband,No
"Hancock Telephone Company, The",,,607-637-9911,www.hancocktelephone.com,"NY, PA",Fixed Broadband,No
Hart Telephone Company,HTC,"Lintel, Inc",706-376-4701,www.hartcom.net,GA,Fixed Broadband,No
"Hayneville Fiber Transport, Inc.",Camellia Communications,"Hayneville Holding Company, Inc.",334-371-3000,www.camelliacom.com,AL,Fixed Broadband,No
"Highland Telephone Cooperative, Inc",,,423 628-2121,https://highlandtel.net/,"KY, TN",Fixed Broadband,No
"Home Telephone Company, Inc.",,"Home Enterprises, Inc.",620-654-3381 or 800-362-9336,www.hci-ks.com,KS,Fixed Broadband,No
"Hope Community TV, INc.",,,1-800-903-0508,www.hopecabletv.com,AR,Fixed Broadband,No
human-I-T,,,888-268-3921,www.human-i-t.org/request-internet,"AL, AZ, AR, CA, CO, CT, DE, DC, FL, GA, ID, IL, IN, IA, KS, KY, LA, ME, MD, MA, MI, MN, MS, MO, MT, NE, NV, NH, NJ, NM, NY, NC, ND, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VT, VA, WA, WV, WI, WY",Mobile Broadband,Yes
Infostructure Inc.,1Tennessee Broadband,,731-784-5000,www.1tennessee.com,TN,Fixed Broadband,No
"InfoWest, Inc",,,435-674-0165,http://www.infowest.com/,"AZ, NV, UT",Fixed Broadband,No
Inter Mountain Cable Inc.,,,606-478-9401,www.imctv.com/,"KY, VA",Fixed Broadband,No
"Interstate Telecommunications Coop, Inc",,,800-417-8667,www.itc-web.com/,"MN, SD",Fixed Broadband,No
Inventive Wireless of Nebraska,Vistabeam,,308-635-9434 or 1-888-251-0920,www.vistabeam.com,"CO, NE, WY",Fixed Broadband,Yes
Irvine Community Television,IrvineOnline,,606-723-4240,www.irvineonline.net,KY,Fixed Broadband,No
"i-wireless, LLC",Access Wireless,,866-594-3644,www.krogerwireless.com,"AL, AZ, AR, CA, CO, CT, DE, DC, FL, GA, ID, IL, IN, IA, KS, KY, LA, MD, MI, MN, MS, MO, NE, NV, NH, NY, NC, OH, OK, OR, PA, RI, SC, TN, TX, UT, VA, WA, WV, WI",Mobile Broadband,No
"Kennebec Telephone Co., Inc.",,,605-869-2220,www.kennebectelephone.com,SD,Fixed Broadband,No
Kerman Telephone Co,Sebastian,"Sebastian Enterprise, Inc",559-846-9311,https://sebastiancorp.com,CA,Fixed Broadband,No
"Kit Carson Electric Cooperative, Inc",Kit Carson Internet,,575-758-4838,www.kitcarson.com,NM,Fixed Broadband,No
Lafayette City Parish Consolidated Government,LUS Fiber,,337-993-4237,www.lusfiber.com,LA,Fixed Broadband,No
"Lake Region Technology & Communications, LLC",,,918-772-2526,www.lakeregionfiber.com,OK,Fixed Broadband,No
"Live Wire Networks, Inc",LiveWireNet,,303-628-4319,www.livewirenet.com,CO,Fixed Broadband,No
Lone Pine Communications,,,760-876-5461,www.lonepineisp.com,CA,Fixed Broadband,No
"Loretel Systems, Inc.",Arvig,"Arvig Enterprises, Inc.",888-892-7844,www.Arvig.com,MN,Fixed Broadband,No
Madison Telephone Company,,"Schwartz Ventures, Inc",618-635-5000,https://gomadison.com/,IL,Fixed Broadband,No
"Madison Telephone, LLC","MT Networks, LLC",,620-437-2356,www.madtel.net,KS,Fixed Broadband,No
Maquoketa Valley Electric Cooperative,,,800-927-6068,www.mvec.coop,IA,Fixed Broadband,No
"Marshall County Fiber, LLC",,,574-936-3161,www.marshallfiber.com,IN,Fixed Broadband,No
"Matanuska Telephone Association, Inc.",,,907-745-3211,www.mtasolutions.com,AK,Fixed Broadband,No
Mediacom LLC,,Mediacom Communications Corporation,1-855-633-4226,https://mediacomcable.com/,"AL, AZ, CA, DE, FL, GA, IL, IN, IA, KS, KY, MD, MI, MN, MS, MO, NC, OH, SD, TN, VA, WI",Fixed Broadband,No
Mediapolis Telephone Company,MTC Technologies,,800-762-1527,www.mtctech.net,IA,Fixed Broadband,No
Melrose Telephone Co.,Arvig,"Arvig Enterprises, Inc.",888-892-7844,www.Arvig.com,MN,Fixed Broadband,No
"Mid-Rivers Telephone Cooperative, Inc.",Mid-Rivers Communications,Mid-Rivers Telephone Cooperative Inc,1-800-452-2288,www.midrivers.com,"MT, ND",Fixed Broadband,No
"Mid-Rivers Telephone Cooperative, Inc. (CLEC)",Mid-Rivers Communications,Mid-Rivers Telephone Cooperative Inc,1-800-452-2288,www.midrivers.com,MT,Fixed Broadband,No
"Midwest Data Center, Inc.",,Rock Port Telephone Company,855-900-3282,www.mwdata.net,"IA, MO",Fixed Broadband,Yes
Midwest Telephone Co.,Arvig,"Arvig Enterprises, Inc.",888-892-7844,www.Arvig.com,MN,Fixed Broadband,No
"Mikrotec CATV, LLC",,,606-478-9401,www.imctv.com/,"KY, WV",Fixed Broadband,No
Molalla Telephone Company,Molalla Communications Company,,503-829-1100,www.molalla.com,OR,Fixed Broadband,No
"Montana Sky Networks, Inc.",,,406-752-4335,www.montanasky.net,MT,Fixed Broadband,No
"MontanaSky West, LLC.",,,406-293-4335,www.montanasky.tv,MT,Fixed Broadband,No
Moundridge Telephone Comapny,,,620-345-2831,www.moundridgecommunications.net/,KS,Fixed Broadband,No
"Mountain Rural Telephone Coop., Corp., Inc",Mountain Telephone,,606-743-3121,www.mrtc.com,KY,Fixed Broadband,No
Mountain West Technologies Corporation,,,307-233-8400,www.MWTN.net,WY,Fixed Broadband,Yes
Muenster Telephone Corporation of Texas,Nortex Communications,Nortex Communications Company,940-759-2251,www.nortex.com,TX,Fixed Broadband,No
"Myakka Communications, Inc.",,,941-322-2916,http://www.myakka.com/,FL,Fixed Broadband,No
"NE Colorado Cellular, Inc",Viaero Wireless,Viaero Wireless Technologies Inc,877-484-2376,www.viaero.com,"CO, KS, NE",Fixed Broadband or Mobile Broadband,No
"NfinityLink Communications, Inc",InfinityLink Communications,"NfinityLink Communications, Inc",252-747-5682,www.infinitylink.com,NC,Fixed Broadband,No
"NMSurf, Inc.",,,505-986-1669,www.nmsurf.com,NM,Fixed Broadband,Yes
North Central Telephone Cooperative,,,Lafayette 615-666-2151 Westmoreland 615-644-6282 Scottsville 270-622-7500,https://nctc.com/,"KY, TN",Fixed Broadband,No
"North Coast Networks, LLC",North Coast Internet,,707-621-8800,www.northcoastnet.com/,CA,Fixed Broadband,No
North Texas Telephone Company,,"First American Communications Enterprises, Inc.",254-893-4600,www.nttfiber.net,TX,Fixed Broadband,No
Northeast Nebraska Telephone Company,,,402-632-4321,www.nntc.net,"NE, SD",Fixed Broadband,No
"NTS Communications, LLC",Vexus,,1-800-658-2150,www.vexusfiber.com,"LA, TX",Fixed Broadband,No
Nushagak Electric & Telephone Cooperative,,,907-842-5251,www.nushtel.com,AK,Fixed Broadband,No
"Oklatel Communications, Inc.",,"First American Communications Enterprises, Inc.",254-893-4600,www.oklatel.net,OK,Fixed Broadband,No
Osakis Telephone Co.,Arvig,"Arvig Enterprises, Inc.",888-892-7844,www.Arvig.com,MN,Fixed Broadband,No
"Palmetto Rural Telephone Cooperative, Inc.",PRTC,,843-538-2020,www.prtc.us,SC,Fixed Broadband,No
"Palmetto Telephone Communications, LLC",PTC,"Palmetto Rural Telephone Cooperative, Inc.",843-538-2020,www.prtc.us,SC,Fixed Broadband,No
Paragould Light and Water Commission,Paragould Light Water and Cable,,870-239-7700,www.paragould.com,AR,Fixed Broadband,No
Pathfinders USA Inc,Performance Computing/PC Internet,EV Holdings LLC,775-625-1552,www.winnemucca.net/,NV,Fixed Broadband,No
"Peace Valley Telephone Co., Inc.",,,417-277-5550,www.pvtelephone.com,MO,Fixed Broadband,No
"Pine Belt Cellular, Inc",Pine Belt Wireless,"Pine Belt Communications, Inc.",334-385-2106,www.pinebelt.net,AL,Fixed Broadband or Mobile Broadband,Yes
"Pine Bluff Cable Television, Inc",,,1-800-903-0508,www.pinebluffcabletv.com,AR,Fixed Broadband,No
"Pinpoint Communications, Inc.",,"Pinpoint Holdings, Inc.",1-800-793-2788,www.pnpt.com,NE,Fixed Broadband,No
Pioneer Telephone Cooperative,Pioneer Connect,,888-929-1014,www.pioneer.net,OR,Fixed Broadband,No
Plains Internet LLC,,,806-340-7320,www.plainsinternet.com,"OK, TX,",Fixed Broadband,Yes
"Poka Lambro Telephone Cooperative, Inc",,,806-924-7234,www.poka.com,TX,Fixed Broadband,No
Prairie Grove Telephone Company Inc,,,479-846-7200,www.pgtc.com,AR,Fixed Broadband,No
"Preferred Networks, Inc",,EV Holdings LLC,775-847-4000,www.preferred-networks.com/,NV,Fixed Broadband,No
"QCOL, Inc.",,,877-329-1121,www.qcol.net/ebb,"MD, PA, WV",Fixed Broadband,Yes
"Rainbow Communications, LLC",Rainbow Communications,,800-892-0163,www.rainbowtel.com,KS,Fixed Broadband,No
Rainbow Telecommunications Association Inc,Rainbow Telecommunications,,800-892-0163,www.rainbowtel.com,KS,Fixed Broadband,No
Randolph Telephone Membership Corporation,Randolph Communications,,336-879-5684,www.rtmc.net,NC,Fixed Broadband,No
Redwood County Telephone Co.,Arvig,"Arvig Enterprises, Inc.",888-892-7844,www.Arvig.com,MN,Fixed Broadband,No
"Resort Television Cable Company, Inc",,,1-800-903-0508,www.resorttvcable.com,AR,Fixed Broadband,No
"Resound Networks, LLC",,,800-806-1719,https://resoundnetworks.com/,"NM, TX",Fixed Broadband,No
"RG Fiber, LLC",,,785-594-5414,www.rgfiber.com,KS,Fixed Broadband,No
"Rico Telephone Company, Inc.",,,801-789-4999,http://www.ricotelephone.com/,CO,Fixed Broadband,No
"Rochester Telephone Company, Inc.",,,574-223-2191,www.rtc1.com,IN,Fixed Broadband,No
Rock Port Telephone Company,,,660-744-5311,www.rptel.net,MO,Fixed Broadband,Yes
RTC Communications Corp.,,,574-223-5191,www.rtc1.com,IN,Fixed Broadband,No
"Rural Telephone Service Co., Inc.",Nex-Tech,,877-625-7872,www.nex-tech.com,KS,Fixed Broadband,No
Saddleback Communications,,,480-362-7150,www.saddlebackcomm.com,AZ,Fixed Broadband,No
San Juan Cable,,,360-758-7879,www.sanjuancable.com,WA,Fixed Broadband,No
Santel Communications Cooperative Inc,,,888-978-7777,https://santel.coop/,SD,Fixed Broadband,No
Savage Communications Inc,,,320-384-7442,www.SCIBroadband.com,MN,Fixed Broadband,No
"Service Electric Cablevision, Inc.",,"Service Electric Television, Inc.",1-800-242-3707,www.secv.com/,PA,Fixed Broadband,No
"Shawnee Telephone Company, Inc.","Shawnee Communications, Inc.",,800-461-3856,www.shawnee.com,IL,Fixed Broadband,No
"Sierra Telephone Company, Inc.",Sierra Telephone,,559-683-4611 or 206-966-3636,www.sierratel.com/,CA,Fixed Broadband,No
Siskiyou Telephone Company,,"Siskiyou Communications, Inc.",1-866-467-6001,www.sisqtel.net,CA,Fixed Broadband,No
SkyLine Telephone Membership Corporation,,,336-877-1350,www.skybest.com,NC,Fixed Broadband,No
"Smartcom Telephone, LLC",,,956-213-2040,www.smartcomtelephone.com,TX,Fixed Broadband,No
Socket Telecom LLC,Socket,Socket Holdings Corportation,1-800-762-5383,www.socket.net,MO,Fixed Broadband,No
"Southern Communications Service, Inc.",Southern Linc,Southern Company,800-406-0151,www.southernlinc.com,AL,Mobile Broadband,No
"Southern Plains Cable, LLC",,"Hilliary Communications, LLC",580-529-5000,www.hillcom.net,OK,Fixed Broadband,No
Spanish Fork City,,,801-798-2877,https://sfcn.org,UT,Fixed Broadband,No
"Star Telephone Company, Inc.",,,800-256-9740,https://starinternet.net/site/,LA,Fixed Broadband,No
SW DinehNet LLC,,"Sacred Wind Enterprises, Inc.",505-905-6000,www.sacredwindcommunications.com,NM,Fixed Broadband,No
"Tahlequah Cable Television Co., Inc",,,1-800-903-0508,www.whitecountycabletv.com,OK,Fixed Broadband,No
"Talkie Communications, Inc.",,,844-5-TALKIE or 844-582-5543,https://talkiecommunications.com/,MD,Fixed Broadband,No
Tekstar Communications,Arvig,"Arvig Enterprises, Inc.",888-892-7844,www.Arvig.com,MN,Fixed Broadband,No
"Teleguam Holdings, LLC",GTA,,671-644-4482,www.gta.net,GU,Fixed Broadband or Mobile Broadband,No
"TerraCom, Inc",,,888-716-8880,www.terracomwireless.com,"AZ, AR, CO, IL, IN, IA, KS, LA, ME, MD, MN, MO, NE, NV, OK, PA, RI, TX, WA, WV, WI",Mobile Broadband,Yes
"Thackers-Grigsby Telephone Co., Inc.",Thackers-Grigsby Communications,,606-785-9500,http://www.tgtel.com/,KY,Fixed Broadband,No
The Electric Power Board of the City of Scottsboro,Scottsboro Electric Power Board,,256-574-2680,www.sepb.net/,AL,Fixed Broadband,No
The Home Telephone Co.,Arvig,"Arvig Enterprises, Inc.",888-892-7844,www.Arvig.com,MN,Fixed Broadband,No
The Peoples Telephone Co. of Bigfork,Arvig,"Arvig Enterprises, Inc.",888-892-7844,www.Arvig.com,MN,Fixed Broadband,No
"The Southern Kansas Telephone Co., Inc.",,,888-758-8976,www.sktc.net,KS,Fixed Broadband,No
Titonka Telephone Company,Titonka-Burt Communications,,515-928-2110,www.TBCtel.com,IA,Fixed Broadband,No
"Tombigee Communications, LLC",,,205-921-6712,www.freedomfiber.com,AL,Fixed Broadband,No
Total Highspeed LLC,,,417-851-1107,https://TotalHighspeed.com,"AR, MO",Fixed Broadband,No
"Totelcom Communications, LLC",,"Tote Holdings, LLC",254-893-1000,www.totelcom.net,TX,Fixed Broadband,No
"Tri County Telephone Association, Inc.",TCT,"BHT Holdings, Inc.",307-568-2427,www.tct.net,WY,Fixed Broadband,No
Triotel Communications Inc.,,,605-425-2238 or 800-242-1925,www.triotel.net/,SD,Fixed Broadband,No
"Troy Cablevision, Inc.",,,334-770-4357,www.troycable.net or https://join.troycable.net,AL,Fixed Broadband,No
Twin Valley-Ulen Telephone Co.,Arvig,"Arvig Enterprises, Inc.",888-892-7844,www.Arvig.com,MN,Fixed Broadband,No
UBTA-UBET Communications Inc.,Strata Networks,,435-622-5007,www.stratanetworks.com,UT,Fixed Broadband,Yes
"Uintah Basin Electronic Telecommunications, LLC",STRATA Networks,,435-622-5007,www.stratanetworks.com,"UT, WY",Mobile Broadband,Yes
"Union Springs Telephone Company, Inc",,"Troy Cablevision, Inc.",334-738-4400,www.ustconline.net,AL,Fixed Broadband,No
Union Telephone Company,"Union Telephone Company, 
 Union Wireless",,888-926-2273,www.unionwireless.com,"CO, UT, WY",Fixed Broadband or Mobile Broadband,No
United Farmers Telephone Co.,"Evertek, Inc.","Evertek Enterprises, Inc",712-834-2255,www.evertek.net,IA,Fixed Broadband,No
Upper Peninsula Telephone Company,"Michigan Central Broadband Company, Michigan Broadband Services, Alpha Enterprises Limited Inc., Alphacomm.net",Lynch Michigan Telephone Holding Company (subsidiary of LICT Corporation),855-642-4227,www.michbbs.com,MI,Fixed Broadband,No
Upsala Cooperative Telephone Association,Sytek,,320-573-1390,www.sytekcom.com,MN,Fixed Broadband,No
Volcano Telephone Company,,Volcano Communications Company,209-296-7502,www.volcanocommunications.com,CA,Fixed Broadband,No
"Wamego Telecommunications Company, Inc.",WTC,"Wamego Telephone Company, Inc.",877-982-1912,http://www.wtcks.com,KS,Fixed Broadband,No
Webster-Calhoun Cooperative Telephone Association,,,888-350-3151,www.wccta.com,IA,Fixed Broadband,No
"West Plains Telecommunications, Inc.",,,806-272-5533,www.fivearea.com,TX,Fixed Broadband,No
West River Telecommunications Cooperative,,,701-748-2211,www.westriv.com,"ND, SD",Fixed Broadband,No
"Wes-Tex Telephone Cooperative, Inc.",,,888-221-8984,www.westex.coop,TX,Fixed Broadband,No
White Cloud Communications US LLC,Inside Connect,,855-552-2253,www.wcloudus.com/,KY,Fixed Broadband,No
"White County Video, Inc",,,1-800-903-0508,www.whitecountycabletv.com,AR,Fixed Broadband,No
Wi-Fiber,Wi-Fiber,,435-919-5087,https://wi-fiber.io,"ID, UT",Fixed Broadband,No
"Wilkes Telephone & Electric Company, Inc",Relyant Communications,,706-678-2121,https://relyantcommunications.com,GA,Fixed Broadband,No
Wilson Telephone Company Inc.,,Grauer Management Inc.,800-432-7607,www.wilsoncommunications.us,KS,Fixed Broadband,No
Windbreak Cable LLC,,,800-282-4650,www.windbreak.com,"NE, WY",Fixed Broadband,No
"Windspeed Broadband, LLC",,,800-282-4650,www.windspeedbroadband.com,OH,Fixed Broadband,No
"Windstream Communications, LLC",,"Windstream Services, LLC",866-445-8084,www.windstream.com/covid-relief,"AL, AR, FL, GA, IA, KY, MN, MS, MO, NE, NM, NY, NC, OH, OK, PA, SC, TX",Fixed Broadband,Yes
Winnebago Cooperative Telecom Association,,,800-592-6105,www.wctatel.net,"IA, MN",Fixed Broadband,No
Yadkin Valley Telephone Membership Corporation,Yadtel,,336-463-5022,www.yadtel.com,NC,Fixed Broadband,No
"3 Rivers Telephone Cooperative, Inc.",3 Rivers Communications,,406-467-2535 or 800-796-4567,www.3rivers.net,MT,Fixed Broadband,No
"Advanced Satellite Systems, Inc",,,386-888-5668 ext 3,www.wirelessfl.com,FL,Fixed Broadband,No
"Albion Telephone Company, Inc.",ATC Communications,,208-673-5335,www.atcnet.net,ID,Fixed Broadband,No
Biddeford Internet Company,GWI,,1-866-494-2020,www.gwi.net,ME,Fixed Broadband,No
Bloomingdale Telephone Company,Bloomingdale Communications Inc.,,269-521-7300 or 800-377-3130,www.bloomingdalecom.com,MI,Fixed Broadband,No
Cal-Ore Communications,Cal-Ore Telephone,LICT,800-858-2399,www.cot.net,"OR, CA",Fixed Broadband,No
Cass Telephone Company,CASSCOMM,"Cass Communications Management, Inc.",1-800-252-1799,www.casscomm.com,IL,Fixed Broadband,No
Christopher R. Gray DBA Hilltown Networks,Hilltown Networks,Christopher R. Gray DBA Hilltown Networks,413-628-2100,www.hilltownnetworks.com,MA,Fixed Broadband,No
CMS Internet LLC,,,800-962-7022,www.cmsinter.net,MI,Fixed Broadband,No
Coastline Wireless,"Coastline Wireless, LLC",,207-331-4091,www.coastlinewireless.com,ME,Fixed Broadband,No
DTC Cable INC,,,607-746-1500,www.delhitel.com/,NY,Fixed Broadband,No
"East Kentucky Network, LLC",Appalachian Wireless,,800-438-2355,www.applachianwireless.com/,KY,Mobile Broadband,No
"Eastex Telephone Cooperative, Inc.",DBA Eastex Net,,903-854-1000,www.eastex.com,TX,Fixed Broadband,No
Easton Utilities Commission,Easton Velocity,Easton Utilities Commission,410-822-6110,www.eastonutilities.com,MD,Fixed Broadband,No
Emery Telephone,Emery Telcom,"Emery Telcom HC, Inc.",435-748-2223 or 435-613-9605,https://emerytelcom.com/,UT,Fixed Broadband,No
ENMR Telephone Cooperative,Plateau,,1-800-432-2369,www.plateautel.com,"NM, TX",Fixed Broadband,No
Golden Belt Telephone Assoc. Inc.,,,785-372-4236,www.gbta.net,KS,Fixed Broadband,Yes
"Haviland Telephone Company, Inc.",Haviland Broadband,LICT Corporation,800-339-8052,"www.havilandbroadband.com, havilandtelco.com",KS,Fixed Broadband,No
"Hayneville Telephone Company, Inc.",,"Hayneville Holding Company, Inc.",334-548-2101,www.htcnet.net,AL,Fixed Broadband,No
Heart of the Catskills Communications Inc.,MTC Cable,,1-877-727-2288,www.mtctelcom.com,NY,Fixed Broadband,Yes
Jackson County Rural Electric Membership Corporation,,,812-358-4458,www.jacksonremc.com,IN,Fixed Broadband,No
"Lakeland Communications Group, LLC","Lakeland Communications, Inc.","Lakeland Communications, Inc.",715-825-2171,www.lakeland.ws,WI,Fixed Broadband,No
"LiteWire Internet Services, Inc.",,,888-825-2005,www.litewire.net/,WI,Fixed Broadband,No
Lokket Inc.,,,833-356-5538 or 833-3LOKKET,www.lokket.com,"CA, NM, WA",Fixed Broadband,No
Muscatine Power & Water,,,563-262-2631,www.mpw.org/,IA,Fixed Broadband,No
Northeast Iowa Telephone Company,NEIT,,563-539-2122,www.neitel.com,IA,Fixed Broadband,No
"Northeast Rural Services, Inc.",Bolt Fiber Optic Service,"Northeast Rural Services, Inc.",918-256-9443,www.boltfiber.com,OK,Fixed Broadband,No
Oklahoma Western Telephone Company,,"Hilliary Acquisition Corp 2016, LLC",580-529-5000,www.Hillcom.net,OK,Fixed Broadband,No
"Panhandle Telecommunications Systems, Inc.",PTCI,"Panhandle Telephone Cooperative, Inc.",1-800-562-2556,www.ptci.net,TX,Fixed Broadband,No
"Peoples Telephone Cooperative, Inc",Peoples,,903-763-2214,www.peoplescom.net,TX,Fixed Broadband,No
Polar Communications Mutual Aid Corp,Polar Communications Inc.,,701-284-7221,www.polarcomm.com,"MN, ND",Fixed Broadband,No
"Puerto Rico Telephone Company, Inc",Claro,,787-524-0106,www.claropr.com,PR,Fixed Broadband or Mobile Broadband,Yes
South Arkansas Telephone Company,,,1-866-798-2201,www.sat-co.net,AR,Fixed Broadband,No
Southwest Texas Telephone Company,Southwest Texas Communications,"Southwest Texas Telcoms, Inc",830 683-2111,www.swtexas.com,TX,Fixed Broadband,No
"Texhoma Fiber, LLC",,"Hilliary Aquisitions Corp. Texas, LLC",580-529-5000,www.hillcom.net,TX,Fixed Broadband,No
Twin Lakes Telephone Cooperative Corporation,,,1-833-847-0824,www.twinlakes.net,TN,Fixed Broadband,No
"Valley Telephone Cooperative, Inc.",,,1-800-421-5711,www.vtc.net,"AZ, NM",Fixed Broadband,No
VelozWireless,,VelozWireless,787-325-3907,www.velozwireless.com/,PR,Fixed Broadband,No
WNM Communications Corporation,"WNMC, WNM Communications",LICT Corporation,1-800-535-2330,www.wnmc.com/,NM,Fixed Broadband,No
Yurok Tribe of the Yurok Reservation,Yurok Connect,,707-951-8028 or 530-599-1375,www.yuroktribe.org/,CA,Fixed Broadband,Yes
Easy Telephone Service Company,Easy Wireless,,877-476-3451,www.MyEasyWireless.com,"AR, KY, MO, OK",Mobile Broadband,Yes
HBE Internet,,"Professional Satellite Services, Inc.",870-423-6223,www.hbeinternet.com,AR,Fixed Broadband,No
"JBN Telephone Company, Inc",,LICT Corporation,800-833-4838,www.jbntelco.com,KS,Fixed Broadband,No
Kasson & Mantorville Telephone Company,KMT Telecom,,507-634-2511,http://www.kmtel.com/,MN,Fixed Broadband,No
Laurence B Glass,Lariat,,307-761-2895,http://www.lariat.net,WY,Fixed Broadband,No
"NET Broadband, LLC",,,712-834-2936,www.evertek.net,IA,Fixed Broadband,No
Nunn Telephone Company,Ezlink by Nunn Telephone,,970-897-2200,www.nunntel.com/,CO,Fixed Broadband,No
"Panhandle Telephone Cooperative, Inc.",PTCI,,1-800-562-2556,www.ptci.net,"OK, TX",Fixed Broadband,No
"PD Fiber, LLC",Pemiscot Dunklin Fiber,"Pemiscot Dunklin Electric Cooperative, Inc.",573-757-6641,https://pdfiber.com,MO,Fixed Broadband,No
"Peoples Telecom, LLC",,Peoples Rural Telephone Cooperative,877-814-7101,https://prtcnet.org/,KY,Fixed Broadband,Yes
"Pine Belt Broadcasting, L.L.C.",,,334-385-2106,www.pinebelt.net,AL,Fixed Broadband,Yes
"Planters Rural Telephone Cooperative, Inc",Planters Telephone Cooperative,,912-857-4411,www.planters.net,GA,Fixed Broadband,No
"Sacred Winds Communications, Inc.",,"Sacred Wind Enterprises, Inc.",505-905-6000,www.sacredwindcommunications.com,NM,Fixed Broadband,No
The Junction Internet,,,918-256-3186,www.junct.com,OK,Fixed Broadband,No
"U.S. Internet, Corp.",,,952-253-3200,http://usinternet.com/,MN,Fixed Broadband,No
Ace Telephone Association,AcenTek,,507-896-3192,www.acentek.net,"IA, MN",Fixed Broadband,No
"Ace Telephone Company of Michigan, Inc",AcenTek,Ace Telephone Association,507 896 3192,www.acentek.net,MI,Fixed Broadband,No
American Broadband and Telecommunications Company,American Assistance and You Call Wireless,,877-266-7212,www.Americanassistance.com,"AZ, AR, CA, CO, GA, HI, IL, IN, KY, MD, MI, MN, NV, OH, PA, RI, SC, UT, WV, WI, PR",Mobile Broadband,Yes
"Ardmore Telephone Company, Inc.",,"Synergy Technology Partners, Inc.",800-830-9946,www.ardmore.net,"AL, TN",Fixed Broadband,No
"Bandera Electric Cooperative, Inc",BEC Fiber,,866-226-3372,www.banderaelectric.com,TX,Fixed Broadband,No
"Centre WISP Venture Company, LLC",,,814-777-9007,www.centrewisp.com,PA,Fixed Broadband,No
Chariton Valley Communications Corporation,,,660-395-9000,www.cvalley.net,MO,Fixed Broadband,No
Chariton Valley Telephone Corporation,,,660-395-9000,www.cvalley.net,MO,Fixed Broadband,No
Chequamegon Communications Cooperative Inc,Norvado,,715-798-3303,www.norvado.com,WI,Fixed Broadband,No
Citizens Mutual Telephone Cooperative,,,641-664-2074,www.mycmtech.com,IA,Fixed Broadband,No
Citizens Telephone Cooperative,,,1-800-941-0426,https://citizens.coop/,VA,Fixed Broadband,No
City of Loveland,Loveland Pulse,,970-962-2111,www.lovelandpulse.com,CO,Fixed Broadband,No
"Cunningham Telephone Company, Inc.",Cunningham Telephone & Cable,,800-287-8495,www.cunninghamtelephoneandcable.com,KS,Fixed Broadband,No
"East Ascension Telephone Company, LLC",EATEL,"Reserve Communications and Computer, LLC",225-621-4300,www.eatel.com,LA,Fixed Broadband,No
